time,condition,replicate,pAKT,pEPOR,pJAK2,pMEK,ppERK,pSTAT5,tAKT,tEPOR,tERK,tJAK2,tMEK,tSTAT5
0,0Uml Epo,1,116.83827139901672,295.83686352410916,310.7665973150686,78.39075588055435,125.37657613349982,13.706031251111055,861.1577777262013,736.6142325211655,736.0691889738308,765.2618882356916,725.2474842838745,1127.1957509877393
5,0Uml Epo,1,138.80850037408658,245.22997171358165,319.3022830568061,82.81080749045013,156.82386810775603,2.6599166923829762,899.6147445303379,1025.8359592457805,921.8246211633304,640.767508901013,893.8591095952277,825.1336534676243
10,0Uml Epo,1,99.09067868832777,282.267681770956,276.9292948509563,92.25817409501124,129.69901305409235,4.0303408606450635,805.3190075134112,974.12664625557,907.0344699410631,755.1551246575297,815.2926131417421,894.5148993463328
20,0Uml Epo,1,106.68583790331874,268.8041625838564,348.89449976245953,66.28784625579304,178.4972876760197,3.4603144149817573,802.3147204703918,1082.143773584579,933.9386283215038,730.3105584427071,658.6627962182938,1029.4684597863295
30,0Uml Epo,1,115.02805006424771,340.9262750163806,359.4938916967828,26.88090183248078,187.780606294075,0.25138808488205133,704.7482015522171,1181.3521465704794,891.8551825187603,664.7043210793844,744.6423841298097,958.0920954393985
60,0Uml Epo,1,111.91323006673758,284.4789602548121,286.8617614385147,76.34283706199014,127.38105440042382,2.8063349207350403,939.7842135652334,909.4901592044221,852.9753382967763,740.5998752440158,788.8058406570213,760.7252889368452
240,0Uml Epo,1,132.56618484634834,213.44106787185555,387.61660161963374,77.60799536610335,135.79270947748958,15.221448012869217,616.4823175154911,1167.3169137442242,939.3561884412937,788.4175364467327,713.8859192557762,865.1952984222486
0,0Uml Epo,2,94.46701749386455,276.71284738901426,293.6047619345449,80.36053371714918,138.13817738156806,3.9723158557959537,776.2831001904508,1078.7525238095907,856.0047824730401,678.4431684106045,815.8511066813547,892.5941907850902
5,0Uml Epo,2,122.44084967231348,294.2074448774908,398.9588923404323,106.40275198761525,130.79446524610512,5.0533869879563795,839.0755405044167,1085.821463228832,880.1553473440833,771.3535274731586,694.6705843400568,759.8187092314661
10,0Uml Epo,2,51.58390605807213,240.0495749689115,311.1498985105556,62.32123483451224,131.8940135441183,7.2199916940352455,836.0225104894173,1163.233365052465,644.4254687574788,764.1959825088077,674.5235268287726,832.5867203173941
20,0Uml Epo,2,96.07747388604857,292.271473243308,312.0375782832614,85.09419170568066,153.8194181247793,1.736449538921619,815.4112703002293,1031.348325431114,828.9210593457677,728.4985504600855,814.8613703622062,1094.70441952514
30,0Uml Epo,2,149.32313510025216,258.3946754197449,302.9546071895411,65.6104563328632,118.52309701140767,0.6929809672324772,886.6514206435264,1197.5456444864192,920.9693922180811,712.032968541775,823.5421159477821,769.4701997566822
60,0Uml Epo,2,120.08217965275661,272.3669878192838,322.8885812900701,74.92797101557812,127.18064625223904,4.260016505647929,743.4762008726902,1000.811111825234,844.9306727001155,719.2869019670168,652.4690131475274,950.743503925187
240,0Uml Epo,2,79.81491884563019,228.43751549137858,289.9211324517366,84.56126695761847,56.80410095687072,3.493680090331992,722.0584370891833,1002.304056855665,903.4509364580184,728.3156338330148,702.4654201261876,857.7138334209468
0,0Uml Epo,3,32.9787448080876,94.1724025695355,114.92023877671338,25.930493117909652,45.134817796337956,2.611084794300567,225.22470836508705,300.3088483561371,230.54042833889304,205.87258473697665,249.19202832208046,274.0954644419222
5,0Uml Epo,3,40.2590573462223,92.81259871782673,101.49173763918064,24.749878394078344,37.22315470818454,15.292237287296357,214.45443331177788,354.9420150553979,270.41680135859656,205.62640009945946,235.1966822836815,305.3578868553283
10,0Uml Epo,3,39.03326200861395,79.3491510815074,114.56003502280788,22.324369241336072,44.217617154128874,0.34870306451280314,255.37713736001703,301.1310034079852,266.16729730524906,251.64704847333135,243.60815179026008,285.5937987314097
20,0Uml Epo,3,34.80162637188874,71.00297141798713,107.9569655043137,13.89627215451926,41.73996223476448,1.292688914119389,261.40221045146285,375.8467433486379,270.2959791244125,246.15907374985534,194.70935184021562,273.36189851462683
30,0Uml Epo,3,44.59346116526048,86.03462605085907,98.46414637701226,26.779877906976022,33.13506318994304,1.0797295771145676,236.73821287957023,333.30777732817495,303.88563232875947,244.28833058069645,249.26904411745264,280.9568468958689
60,0Uml Epo,3,32.01795292009822,44.81149476740497,72.99816892227511,23.631107957451196,46.506376881778145,2.096944744462806,334.4436186298275,339.65156201115906,268.43285263706224,211.99820514114865,272.6218436152017,254.7798265583476
240,0Uml Epo,3,46.47682044093003,97.27296953067372,99.49351171722353,30.524053672205422,44.920847758318395,2.2594851021062063,273.47806983473686,319.0669666990896,251.983735006045,218.36564207317028,267.8353604578857,282.2959578265702
0,0Uml Epo,4,134.59588954892422,286.57629880926737,406.04555028479996,92.4074773614169,159.18821429356248,4.410809253291049,865.9270164287054,1273.795254189421,728.4546941597566,681.8885567307386,959.1008466268325,1009.3696198960639
